artist_id,email_1st_click_campaign_name,nb_sales,total_bv
16771,INTERNAL_CAMPAIGN_SEA_BRAND,1,7837.266458
50138,INTERNAL_CAMPAIGN_DIRECT_ACCESS,10,7787.84093
1973,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,7784
2481,BING_GENERAL,6,7674.90625
5531,ADWORDS_GENERAL,6,7671.684282
36521,TEMPLATE_BLUECHIP_ARTIST,1,7655.193
31025,DISPLAY_ADWORDS_PL_HOME_DECO,2,7631.75466
36500,ADWORDS_GALLERIES_CITIES,3,7622.83199
25191,BING_GENERAL,3,7563.777408
29025,ADWORDS_GENERAL,2,7513.3226
2043,TEMPLATE COLLECTIONS,1,7500
36518,INTERNAL_CAMPAIGN_DIRECT_ACCESS,3,7496
34002,TEMPLATE ARTWORK,2,7452.439483
34560,INTERNAL_CAMPAIGN_DIRECT_ACCESS,7,7420
4545,INTERNAL_CAMPAIGN_SEO_NON_BRAND_GOOGLE,1,7400
36935,ADWORDS_GENERAL_BROAD,2,7400
12539,INTERNAL_CAMPAIGN_A2HS,1,7400
10221,BING_GENERAL,3,7396.96875
36504,TEMPLATE_ARTWORK_GRAND,5,7381.0378
4573,ADWORDS_GALLERIES_CITIES,2,7370
2479,ADWORDS_ARTISTS,3,7346.70305
3813,ADWORDS_GENERAL,4,7285.3539
59122,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,7270
15025,ADWORDS_GENERAL,1,7200
2099,INTERNAL_CAMPAIGN_DIRECT_ACCESS,4,7178.052836
14257,DISPLAY_ADWORDS_PL_HOME_DECO,5,7154.887417
37188,INTERNAL_CAMPAIGN_DIRECT_ACCESS,12,7101.3834
2231,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,7100
14033,INTERNAL_CAMPAIGN_SEO_BRAND_GOOGLE,2,7099.21413
24617,ADWORDS_GENERAL,4,7094.08764
36501,INTERNAL_CAMPAIGN_SEO_NON_BRAND_GOOGLE,2,7020
3143,ADWORDS_GENERAL,5,7017.768545
8217,INTERNAL_CAMPAIGN_DIRECT_ACCESS,5,7014.911946
4411,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,7004.360435
7701,ADWORDS_GENERAL_EXPLORATION,1,7000
31241,SEO_NON_BRAND_TPL_GALLERY_SHOP,3,6920
16771,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,6900
11763,COLD_MAILING_TRADEPROGRAM_B2B_INTERIOR_DESIGNERS,3,6892.29944
21363,ADWORDS_GENERAL_EXPLORATION_TOP10%,3,6874.656069
3797,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,6865.07
4273,INTERNAL_CAMPAIGN_DIRECT_ACCESS,3,6859.4193
4477,ADWORDS_GENERAL_EXPLORATION,2,6830
1298,INTERNAL_CAMPAIGN_DIRECT_ACCESS,3,6806.78
36488,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,6799
19467,INTERNAL_CAMPAIGN_SEO_BRAND_GOOGLE,2,6770.72
28207,TEMPLATE ARTIST,4,6763.82178
36593,GOOGLE_SHOPPING_GRAND_ARTISTS,1,6747.15366
7963,INTERNAL_CAMPAIGN_DIRECT_ACCESS,4,6707
5023,ADWORDS_GENERAL,3,6700
3141,TEMPLATE ARTIST,2,6690.16842
6373,TEMPLATE ARTISTS,3,6673.75
86,TEMPLATE ARTIST,3,6665.984375
8337,ADWORDS_GENERAL,1,6649.61479
6623,ADWORDS_GENERAL,3,6622.57788
63,ADWORDS_GALLERIES_CITIES,3,6607.0442
1437,TEMPLATE ARTWORK,2,6592.044544
36362,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,6582.9706
36495,ADWORDS_ARTISTS,2,6560
36512,EMAIL_NEWSLETTER_RECCURING,1,6500
1514,TEMPLATE ARTWORK,2,6494.8928
28791,ADWORDS_ARTISTS,1,6477.471
36496,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,6460
2257,EMAIL_TRANSACTIONAL_CUSTOM_FOLLOW_ARTISTS,1,6456.02418
8559,TEMPLATE ARTIST,1,6425.3
36501,INTERNAL_CAMPAIGN_SEA_BRAND,2,6402
3197,ADWORDS_ARTISTS,2,6400
29745,EMAIL_TRANSACTIONAL_CUSTOM_SITE_ACTIVITY,1,6372.772
28951,BING_GENERAL,2,6364.044926
36511,TEMPLATE_ARTWORK_GRAND,1,6359.423266
36445,INTERNAL_CAMPAIGN_DIRECT_ACCESS,8,6342.377022
27627,BING_GENERAL,2,6335.484437
7117,INTERNAL_CAMPAIGN_SEA_BRAND,3,6281.38515
2099,TEMPLATE ARTISTS,6,6257.5
33837,ADWORDS_GENERAL,2,6247.6761
1682,FACEBOOK_CONVERSION LOOKALIKE CUSTOMERS_WITH_VALUES 1%,1,6244
33709,INTERNAL_CAMPAIGN_DIRECT_ACCESS,8,6243
2257,ADWORDS_GENERAL_EXPLORATION_TOP10%,1,6229.420736
26567,ADWORDS_GENERAL,4,6220.62832
4027,INTERNAL_CAMPAIGN_SEA_BRAND,3,6150.854324
31839,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,6114.847635
12207,ADWORDS_GENERAL,1,6100
