metric_type,days_bucket,lifecycle_bucket,nb_events,total_sold_artworks,events_per_artwork
wishlist,3. Days 15-30,06. 50-60%,25,8764,0.0029
wishlist,6. Days 91+,06. 50-60%,217,8764,0.0248
wishlist,5. Days 61-90,06. 50-60%,47,8764,0.0054
wishlist,4. Days 31-60,07. 60-70%,39,8764,0.0045
wishlist,6. Days 91+,07. 60-70%,268,8764,0.0306
wishlist,5. Days 61-90,07. 60-70%,33,8764,0.0038
wishlist,3. Days 15-30,07. 60-70%,27,8764,0.0031
wishlist,2. Days 08-14,07. 60-70%,18,8764,0.0021
wishlist,1. Days 01-07,07. 60-70%,52,8764,0.0059
wishlist,1. Days 01-07,08. 70-80%,24,8764,0.0027
wishlist,6. Days 91+,08. 70-80%,451,8764,0.0515
wishlist,2. Days 08-14,08. 70-80%,15,8764,0.0017
wishlist,5. Days 61-90,08. 70-80%,33,8764,0.0038
wishlist,3. Days 15-30,08. 70-80%,30,8764,0.0034
wishlist,4. Days 31-60,08. 70-80%,48,8764,0.0055
wishlist,3. Days 15-30,09. 80-90%,32,8764,0.0037
wishlist,5. Days 61-90,09. 80-90%,44,8764,0.005
wishlist,1. Days 01-07,09. 80-90%,25,8764,0.0029
wishlist,4. Days 31-60,09. 80-90%,68,8764,0.0078
wishlist,6. Days 91+,09. 80-90%,687,8764,0.0784
wishlist,2. Days 08-14,09. 80-90%,23,8764,0.0026
wishlist,2. Days 08-14,10. 90-100%,18,8764,0.0021
wishlist,5. Days 61-90,10. 90-100%,133,8764,0.0152
wishlist,3. Days 15-30,10. 90-100%,83,8764,0.0095
wishlist,6. Days 91+,10. 90-100%,2899,8764,0.3308
wishlist,4. Days 31-60,10. 90-100%,144,8764,0.0164
