artist_id,artist,artwork_id,categories,styles,medium,orientation
3969,Marcos Zrihen,498747,"genre_painting,nature","aboriginal_art,minimalism",painting,landscape
3969,Marcos Zrihen,498727,"fantasy,landscape",minimalism,painting,landscape
3969,Marcos Zrihen,498699,"landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,498673,"landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,498659,"landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,498637,"landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,491633,"conceptual,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,491633,"conceptual,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,491627,"conceptual,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1277171,"fantasy,landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1277847,"fantasy,marine,nature",minimalism,painting,landscape
3969,Marcos Zrihen,471609,"fantasy,genre_painting",minimalism,painting,portait
3969,Marcos Zrihen,446247,"conceptual,nature",minimalism,painting,landscape
3969,Marcos Zrihen,446241,nature,minimalism,painting,portait
3969,Marcos Zrihen,440773,"nature,pop_culture",minimalism,painting,portait
3969,Marcos Zrihen,1285183,"fantasy,marine,nature","impressionism,minimalism",painting,landscape
3969,Marcos Zrihen,1289537,"fantasy,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,426027,conceptual,minimalism,painting,landscape
3969,Marcos Zrihen,425971,"landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,425957,"conceptual,nature",minimalism,painting,portait
3969,Marcos Zrihen,425951,"conceptual,nature",minimalism,painting,portait
3969,Marcos Zrihen,1999928,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1302251,"fantasy,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1975409,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1302261,"landscape,marine","figurative,minimalism",painting,portait
3969,Marcos Zrihen,1302265,"fantasy,nature","figurative,minimalism",painting,landscape
3969,Marcos Zrihen,1302425,"fantasy,marine,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1302437,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1307829,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1307837,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1308709,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1803257,"fantasy,landscape,marine,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1803519,"fantasy,landscape,marine,nature",minimalism,painting,portait
