artist_id,artist_name,artist_type,nb_sessions_artist_page,nb_sessions_artwork_page,nb_sessions_total,nb_entry_sessions_artist_campaign,nb_entry_sessions_artwork_campaign,nb_entry_sessions_total,artist_total_bv,artist_entry_bv_same_artist,artist_entry_bv_other_artist,artwork_entry_bv_same_artist,artwork_entry_bv_other_artist,1stClick BV,pull_ratio_artist,pull_ratio_artwork,pull_ratio,pct_first_click_bv_same_artist,1st_click_BV_per_First_click_session
10221,Gardani,Singulart Artist,33349,334432,367781,5323,12841,18164,275766.2449,6985.165,3386.964041,12044.88135,0,"22,417",15.96%,3.84%,4.94%,6.90%,€1.20
13921,Marie Rouach,Singulart Artist,26108,126314,152422,4610,2875,7485,271123.3669,13316.30848,8196.31762,11046.86877,2341.49335,"34,901",17.66%,2.28%,4.91%,8.99%,€4.70
3605,Robert Süess,Singulart Artist,55508,246621,302129,17126,6742,23868,269958.6658,9390.60911,8080.477416,5470,0,"22,941",30.85%,2.73%,7.90%,5.51%,€1.00
36531,Damien Hirst,Grand Artist,33383,207157,240540,5403,6000,11403,267871.5315,17238.2812,30595.48515,52400.45661,0,"100,234",16.19%,2.90%,4.74%,26.00%,€8.80
36504,Salvador Dalí,Grand Artist,196989,638804,835793,22195,47784,69979,260676.2424,2517.10842,9819.06844,24579.29799,0,"36,915",11.27%,7.48%,8.37%,10.40%,€0.50
35177,Brigitte Dravet,Singulart Artist,23466,130007,153473,3578,2437,6015,252539.4029,7788.981616,7765.146416,10406.0502,0,"25,960",15.25%,1.88%,3.92%,7.21%,€4.30
8747,Robert Mann,Singulart Artist,25457,55231,80688,6511,1339,7850,249373.8779,6271.56,0,11310.03989,502.7152,"18,084",25.58%,2.42%,9.73%,7.05%,€2.30
1336,Danny Frede,Singulart Artist,25227,109701,134928,5124,2191,7315,246779.3236,12854.3458,450,3611.835,2107.1525,"19,023",20.31%,2.00%,5.42%,6.67%,€2.60
4195,Marc Todd,Singulart Artist,45369,184238,229607,8587,3712,12299,244120.5161,12947.7309,840,1185,0,"14,973",18.93%,2.02%,5.36%,5.79%,€1.20
9831,MICHEL SAINT-LUC,Singulart Artist,25502,106798,132300,4803,2066,6869,240537.04,14902.84053,4738.35,1738.29665,0,"21,379",18.83%,1.93%,5.19%,6.92%,€3.10
2653,Arno Bruse,Singulart Artist,32578,127052,159630,5406,5032,10438,235883.3178,27453.701,2108.52437,5880,0,"35,442",16.59%,3.96%,6.54%,14.13%,€3.40
3897,Antoni Dragan,Singulart Artist,26963,200224,227187,4090,7202,11292,234572.8979,2665.126309,2939.74424,4912.96585,0,"10,518",15.17%,3.60%,4.97%,3.23%,€0.90
7117,Nana Artamonova,Singulart Artist,32063,99559,131622,5404,3241,8645,233254.9308,32610.90176,1230.48,6934.504,0,"40,776",16.85%,3.26%,6.57%,16.95%,€4.70
12975,Reneta Isin,Singulart Artist,36109,165641,201750,3145,4415,7560,231975.4102,15000,0,0,0,"15,000",8.71%,2.67%,3.75%,6.47%,€2.00
